Timestamp,Download (Mbps),Upload (Mbps),Latency (ms),Server Name,Server Location
2025-05-20 12:09:36,0.13,0.00,31.00,Nairobi,Kenya
2025-05-20 12:10:06,0.03,0.14,31.00,Nairobi,Kenya
2025-05-20 12:10:36,0.00,0.00,31.00,Nairobi,Kenya
2025-05-20 12:11:06,0.00,0.00,31.00,Nairobi,Kenya
2025-05-20 12:11:36,0.01,0.00,31.00,Nairobi,Kenya
2025-05-20 12:12:06,0.00,0.00,31.00,Nairobi,Kenya
2025-05-20 12:12:36,0.00,0.00,31.00,Nairobi,Kenya
2025-05-20 12:21:02,0.01,0.12,893.00,Nairobi,Kenya
2025-05-20 12:21:32,0.00,0.05,893.00,Nairobi,Kenya
2025-05-20 12:22:02,0.00,0.09,893.00,Nairobi,Kenya
2025-05-20 12:22:32,0.00,0.06,893.00,Nairobi,Kenya
2025-05-20 12:23:02,0.00,0.00,893.00,Nairobi,Kenya
2025-05-20 12:23:32,0.00,0.00,893.00,Nairobi,Kenya
2025-05-20 12:24:04,0.00,0.04,893.00,Nairobi,Kenya
